year,units,cumulative,source
2015,4200000,4200000, Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment
2016,5500000,9700000,
2017,7500000,17200000,
2018,10500000,27700000,
2019,14000000,41700000,
2020,16500000,58200000,
2021,20000000,78200000,
2022,22000000,100200000,
2023,24000000,124200000,
2024,27000000,151200000, Lawn mowers: https://www.industryresearch.biz/market-reports/robotic-lawn-mowers-market-113185#:~:text=Report%20Coverage%20of%20Robotic%20Lawnin%20robotic%20lawn%20mowing%20solutions.
2025,30000000,181200000, Lawn mowers: https://www.prnewswire.com/news-releases/robosense-ranked-no1-in-global-3d-lidar-sales-volume-for-robotic-lawn-mowers-302663374.html
